Year,Company,Genre,Platform,GlobalSales
1984,Nintendo,Puzzle,NES,1.1
1984,Nintendo,Puzzle,NES,0.82
1984,Nintendo,Platform,2600,0.69
1985,Atari,Puzzle,NES,0.45
1985,Nintendo,Action,NES,0.02
1985,Nintendo,Platform,NES,40.24
1985,Nintendo,Action,NES,3.5
1985,Nintendo,Sports,NES,1.96
1985,Nintendo,Platform,NES,1.5
1985,Nintendo,Puzzle,NES,1.32
1985,Nintendo,Fighting,NES,1.05
1985,Nintendo,Puzzle,NES,1.03
1985,Nintendo,Shooter,NES,1
1985,Nintendo,Platform,2600,0.92
1985,Nintendo,Platform,NES,0.51
1985,Nintendo,Puzzle,PC,0.41
1985,PC,Simulation,DS,0.03
1986,Atari,Shooter,NES,0.37
1986,Atari,Sports,NES,0.29
1986,Nintendo,Action,NES,6.51
1986,Nintendo,Sports,NES,3.08
1986,Nintendo,Action,NES,2.73
1986,Nintendo,Platform,NES,2.65
1986,Nintendo,Role-Playing,NES,2.52
1986,Nintendo,Sports,NES,2.2
1986,Nintendo,Racing,NES,1.96
1986,Nintendo,Platform,NES,1.76
1986,Nintendo,Action,NES,1.64
1986,Nintendo,Platform,NES,1.5
1986,Nintendo,Shooter,NES,1.36
1986,Nintendo,Platform,NES,1.23
1986,Nintendo,Shooter,NES,1.2
1986,Nintendo,Platform,NES,1.2
1986,Nintendo,Action,NES,1.15
1986,Nintendo,Action,NES,1.14
1986,Nintendo,Platform,NES,1.05
1986,Nintendo,Shooter,2600,0.96
1986,Nintendo,Action,2600,0.57
1987,Atari,Action,NES,0.65
1987,Atari,Action,NES,0.47
1987,Atari,Shooter,NES,0.45
1987,Atari,Shooter,NES,0.26
1987,Atari,Sports,NES,0.08
1987,Atari,Sports,NES,0.07
1987,Nintendo,Adventure,NES,4.38
1987,Nintendo,Fighting,NES,3.02
1987,Nintendo,Role-Playing,NES,2.56
1987,Nintendo,Fighting,NES,2.4
1987,Nintendo,Sports,2600,2.15
1987,Nintendo,Sports,2600,1.42
1987,Nintendo,Role-Playing,2600,1.25
1987,Nintendo,Platform,2600,0.93
1987,Nintendo,Role-Playing,2600,0.84
1987,Nintendo,Platform,2600,0.81
1988,Atari,Shooter,NES,0.51
1988,Atari,Action,NES,0.24
1988,Nintendo,Platform,NES,1.43
1988,Nintendo,Platform,NES,17.28
1988,Nintendo,Platform,NES,7.46
1988,Nintendo,Puzzle,NES,5.58
1988,Nintendo,Role-Playing,NES,3.87
1988,Nintendo,Sports,NES,2.42
1988,Nintendo,Racing,GB,2.14
1988,Nintendo,Platform,NES,1.56
1988,Nintendo,Action,NES,1.51
1988,Nintendo,Role-Playing,NES,1.25
1988,Nintendo,Sports,2600,1.18
1988,Nintendo,Role-Playing,2600,0.76
1988,PC,Simulation,PC,0.03
1989,Atari,Action,GB,0.47
1989,Atari,Puzzle,GB,0.15
1989,Nintendo,Puzzle,GB,30.26
1989,Nintendo,Platform,NES,18.14
1989,Nintendo,Puzzle,GB,5.34
1989,Nintendo,Sports,GB,2.12
1989,Nintendo,Sports,GB,1.99
1989,Nintendo,Puzzle,NES,1.94
1989,Nintendo,Sports,GB,1.61
1989,Nintendo,Misc,GB,1.28
1989,Nintendo,Shooter,GB,1.2
1989,Nintendo,Role-Playing,GB,1.1
1989,Nintendo,Action,NES,4.17
1989,Nintendo,Platform,NES,1.67
1989,Nintendo,Role-Playing,2600,1.1
1989,Nintendo,Platform,2600,0.85
1989,Nintendo,Puzzle,NES,0.06
1990,Nintendo,Racing,SNES,3.41
1990,Nintendo,Puzzle,NES,1.15
1990,Nintendo,Sports,GB,0.33
1990,Sega,Action,NES,2.6
1990,Nintendo,Puzzle,SNES,4.85
1990,Nintendo,Role-Playing,GEN,3.12
1990,Nintendo,Action,NES,2.23
1990,Nintendo,Sports,SNES,1.48
1990,Nintendo,Role-Playing,NES,1.4
1990,Nintendo,Platform,NES,1.19
1990,Nintendo,Platform,NES,1.17
1990,Nintendo,Sports,NES,0.3
1990,Nintendo,Platform,GB,20.61
1990,Nintendo,Racing,SNES,2.85
1990,Nintendo,Action,GB,1.56
1990,Nintendo,Simulation,NES,1.14
1991,Nintendo,Adventure,SNES,1.76
1991,Nintendo,Racing,GEN,1.14
1991,Nintendo,Role-Playing,SNES,0.76
1991,Nintendo,Puzzle,SNES,0.73
1991,Nintendo,Role-Playing,GB,0.38
1991,Nintendo,Platform,NES,0.28
1991,Nintendo,Platform,SNES,0.28
1991,Nintendo,Strategy,NES,0.18
1991,Nintendo,Action,SNES,0.06
1991,Sega,Platform,GB,4.34
1991,Nintendo,Puzzle,NES,1.75
1991,Nintendo,Action,NES,1.39
1991,Nintendo,Sports,GB,1
1991,Nintendo,Platform,GB,0.93
1991,Nintendo,Puzzle,SNES,0.44
1991,Nintendo,Puzzle,SNES,0.32
1991,Nintendo,Sports,NES,0.28
1991,Nintendo,Action,SNES,4.61
1991,Nintendo,Simulation,SNES,1.98
1991,Nintendo,Role-Playing,SNES,1.77
1991,Nintendo,Shooter,GB,1.65
1991,Nintendo,Platform,SNES,1.18
1991,Nintendo,Platform,SNES,0.63
1991,Nintendo,Adventure,NES,0.48
1991,Nintendo,Action,SNES,0.42
1991,Nintendo,Fighting,GB,0.39
1991,Nintendo,Sports,NES,0.38
1991,Nintendo,Sports,GB,0.33
1991,Nintendo,Strategy,SNES,0.33
1991,Nintendo,Role-Playing,SNES,0.29
1991,Nintendo,Action,SNES,0.28
1991,Nintendo,Strategy,SNES,0.25
1991,Nintendo,Shooter,GB,0.23
1991,Nintendo,Sports,SNES,0.2
1991,Nintendo,Strategy,SNES,0.18
1991,Nintendo,Simulation,SNES,0.16
1991,Nintendo,Sports,SNES,0.15
1991,Nintendo,Shooter,SNES,0.12
1991,Nintendo,Misc,SNES,0.08
1991,Nintendo,Sports,GB,0.07
1991,Nintendo,Role-Playing,SNES,0.05
1992,Nintendo,Adventure,GB,11.18
1992,Nintendo,Platform,SNES,5.13
1992,Nintendo,Action,SNES,3.83
1992,Nintendo,Misc,GEN,2.19
1992,Nintendo,Puzzle,GB,1.68
1992,Nintendo,Puzzle,SNES,1.24
1992,Nintendo,Puzzle,GB,0.23
1992,Sega,Platform,SNES,6.03
1992,Sega,Fighting,SNES,2.67
1992,Sega,Sports,GEN,2.05
1992,Sega,Fighting,SNES,1.66
1992,Sega,Shooter,GB,0.13
1992,Sega,Adventure,PC,0.12
1992,Sega,Platform,GEN,0.04
1992,Nintendo,Puzzle,GB,1.12
1992,Nintendo,Platform,GEN,0.79
1992,Nintendo,Fighting,GB,0.07
1992,PC,Simulation,SNES,2.14
1992,PC,Adventure,NES,0.78
1992,PC,Strategy,SNES,0.06
1992,PC,Shooter,NES,0.03
1992,PC,Strategy,PC,0.01
1992,Nintendo,Racing,SNES,8.76
1992,Nintendo,Fighting,SNES,6.3
1992,Nintendo,Fighting,SNES,4.1
1992,Nintendo,Role-Playing,SNES,2.79
1992,Nintendo,Misc,SNES,2.75
1992,Nintendo,Role-Playing,SNES,2.45
1992,Nintendo,Platform,SNES,1.21
1992,Nintendo,Role-Playing,GB,0.97
1992,Nintendo,Role-Playing,SNES,0.58
1992,Nintendo,Puzzle,SNES,0.57
1992,Nintendo,Sports,SNES,0.46
1992,Nintendo,Fighting,SNES,0.39
1992,Nintendo,Strategy,GEN,0.29
1992,Nintendo,Sports,GEN,0.28
1992,Nintendo,Racing,NES,0.28
1992,Nintendo,Platform,SNES,0.22
1992,Nintendo,Adventure,PC,0.16
1992,Nintendo,Sports,SNES,0.16
1992,Nintendo,Shooter,GG,0.13
1992,Nintendo,Role-Playing,PC,0.07
1992,Nintendo,Fighting,PC,0.06
1993,Sega,Strategy,SNES,0.19
1993,Sega,Fighting,SNES,0.15
1993,Sega,Adventure,SNES,0.07
1993,Sega,Action,SNES,0.07
1993,Sega,Action,SNES,0.07
1993,Sega,Platform,SNES,0.05
1993,Sega,Role-Playing,NES,0.05
1993,Nintendo,Platform,SNES,1.75
1993,Nintendo,Puzzle,SCD,0.98
1993,Nintendo,Platform,SNES,0.52
1993,Nintendo,Action,SNES,0.36
1993,SNK,Fighting,SNES,0.14
1993,SNK,Fighting,SNES,0.07
1993,SCD,Platform,SNES,1.5
1993,Nintendo,Platform,SNES,10.55
1993,Nintendo,Shooter,NES,2.99
1993,Nintendo,Fighting,SNES,2
1993,Nintendo,Fighting,SNES,1.93
1993,Nintendo,Role-Playing,SNES,1.83
1993,Nintendo,Platform,SNES,1.75
1993,Nintendo,Puzzle,SNES,1.7
1993,Nintendo,Fighting,SNES,1.45
1993,Nintendo,Fighting,SNES,1.2
1993,Nintendo,Role-Playing,SNES,1.17
1993,Nintendo,Platform,NES,1.16
1993,Nintendo,Role-Playing,SNES,1.15
1993,Nintendo,Action,SNES,1.02
1993,Nintendo,Sports,SNES,0.8
1993,Nintendo,Role-Playing,SNES,0.78
1993,Nintendo,Fighting,NES,0.73
1993,Nintendo,Sports,SNES,0.69
1993,Nintendo,Strategy,SNES,0.62
1993,Nintendo,Platform,SNES,0.56
1993,Nintendo,Sports,SNES,0.53
1993,Nintendo,Sports,SNES,0.53
1993,Nintendo,Puzzle,SNES,0.49
1993,Nintendo,Platform,GEN,0.46
1993,Nintendo,Fighting,SNES,0.45
1993,Nintendo,Fighting,SNES,0.36
1993,Nintendo,Racing,SNES,0.35
1993,Nintendo,Role-Playing,GEN,0.32
1993,Nintendo,Platform,NG,0.31
1993,Nintendo,Fighting,SNES,0.27
1993,Nintendo,Action,SNES,0.22
1993,Nintendo,Misc,SNES,0.19
1993,Nintendo,Simulation,SNES,0.19
1993,Nintendo,Sports,SNES,0.18
1993,Nintendo,Sports,GEN,0.17
1993,Nintendo,Role-Playing,GEN,0.13
1993,Nintendo,Sports,NG,0.12
1993,Nintendo,Sports,SNES,0.11
1993,Nintendo,Role-Playing,GEN,0.11
1993,Nintendo,Shooter,SNES,0.09
1993,Nintendo,Action,SNES,0.07
1993,Nintendo,Misc,SNES,0.06
1993,Nintendo,Platform,GEN,0.06
1993,Nintendo,Role-Playing,SNES,0.05
1993,Nintendo,Misc,SNES,0.05
1993,Nintendo,Sports,GEN,0.05
1993,Nintendo,Racing,SNES,0.01
1994,3DO Company ,Puzzle,SNES,0.02
1994,Nintendo,Platform,GB,5.19
1994,Nintendo,Platform,GB,3.91
1994,Nintendo,Platform,PC,3.07
1994,Sega,Platform,SNES,1.82
1994,Sega,Platform,GB,1.76
1994,Sega,Platform,PC,1.41
1994,Sega,Fighting,PC,1.34
1994,Sega,Sports,PC,1.11
1994,Sega,Racing,PC,0.26
1994,Sega,Role-Playing,GEN,0.14
1994,Sega,Fighting,SNES,0.08
1994,Sega,Role-Playing,GEN,0.08
1994,Sega,Sports,SNES,0.04
1994,Sega,Platform,SNES,0.04
1994,Sega,Misc,GEN,0.03
1994,Nintendo,Role-Playing,SNES,0.11
1994,SNK,Fighting,GEN,0.25
1994,SNK,Fighting,PS,0.23
1994,SNK,Fighting,GEN,0.2
1994,SNK,Fighting,SAT,0.12
1994,PC,Shooter,SNES,3.61
1994,PC,Adventure,SNES,2.81
1994,PC,Misc,SNES,2.39
1994,PC,Strategy,SNES,2.08
1994,PC,Shooter,SNES,1.95
1994,PC,Fighting,PS,0.01
1994,Sony,Fighting,PS,1.27
1994,Sony,Racing,SNES,0.79
1994,Sony,Shooter,SNES,0.78
1994,Sony,Simulation,SNES,0.57
1994,Sony,Sports,PS,0.45
1994,Sony,Sports,SNES,0.38
1994,Sony,Shooter,SAT,0.37
1994,Sony,Shooter,SNES,0.33
1994,Sony,Strategy,SNES,0.25
1994,Sony,Simulation,SNES,0.19
1994,Sony,Fighting,PS,0.11
1994,Sony,Sports,SNES,0.11
1994,Sony,Shooter,SNES,0.11
1994,Sony,Role-Playing,SNES,0.1
1994,Sony,Role-Playing,SNES,0.08
1994,Sony,Racing,PS,0.07
1994,Sony,Adventure,PS,0.06
1994,Sega,Fighting,SNES,1.07
1994,Sega,Racing,SNES,0.55
1994,Sega,Sports,SNES,0.3
1994,Sega,Simulation,SNES,0.28
1994,Sega,Shooter,SNES,0.25
1994,Sega,Shooter,SNES,0.2
1994,Sega,Racing,SNES,0.18
1994,Sega,Fighting,SNES,0.12
1994,Sega,Fighting,PS,0.12
1994,Sega,Platform,SNES,0.09
1994,Sega,Simulation,SNES,0.08
1994,Sega,Racing,SAT,0.07
1994,Sega,Shooter,SNES,0.06
1994,Sega,Sports,SNES,0.06
1994,Sega,Adventure,SNES,0.06
1994,Sega,Fighting,SAT,0.05
1994,Sega,Sports,SNES,0.04
1994,Sega,Fighting,SNES,0.04
1994,Sega,Sports,GEN,0.02
1994,SCD,Strategy,SAT,0.14
1994,SCD,Racing,PS,0.07
1994,SCD,Role-Playing,NG,0.06
1994,SCD,Misc,NG,0.05
1994,SCD,Misc,SNES,0.05
1994,Nintendo,Platform,NG,9.3
1994,Nintendo,Role-Playing,SAT,3.42
1994,Nintendo,Platform,PS,1.79
1994,Nintendo,Fighting,SNES,1.53
1994,Nintendo,Action,SNES,1.42
1994,Nintendo,Sports,SAT,1.39
1994,Nintendo,Simulation,SNES,0.91
1994,Nintendo,Sports,GEN,0.87
1994,Nintendo,Adventure,SCD,0.81
1994,Nintendo,Puzzle,NG,0.81
1994,Nintendo,Role-Playing,SNES,0.81
1994,Nintendo,Puzzle,SAT,0.7
1994,Nintendo,Role-Playing,SNES,0.7
1994,Nintendo,Sports,SAT,0.59
1994,Nintendo,Fighting,PS,0.56
1994,Nintendo,Strategy,PS,0.53
1994,Nintendo,Sports,NES,0.53
1994,Nintendo,Shooter,PS,0.46
1994,Nintendo,Simulation,PS,0.43
1994,Nintendo,Sports,SAT,0.41
1994,Nintendo,Fighting,SAT,0.4
1994,Nintendo,Sports,PS,0.39
1994,Nintendo,Sports,GEN,0.37
1994,Nintendo,Strategy,GEN,0.37
1994,Nintendo,Role-Playing,SNES,0.37
1994,Nintendo,Sports,SAT,0.36
1994,Nintendo,Fighting,SCD,0.36
1994,Nintendo,Role-Playing,SNES,0.36
1994,Nintendo,Platform,SNES,0.36
1994,Nintendo,Sports,PS,0.33
1994,Nintendo,Role-Playing,PS,0.32
1994,Nintendo,Fighting,SAT,0.31
1994,Nintendo,Role-Playing,SAT,0.3
1994,Nintendo,Misc,SCD,0.29
1994,Nintendo,Sports,SAT,0.28
1994,Nintendo,Sports,SCD,0.27
1994,Nintendo,Simulation,SNES,0.27
1994,Nintendo,Racing,SAT,0.2
1994,Nintendo,Strategy,SCD,0.19
1994,Nintendo,Shooter,SAT,0.18
1994,Nintendo,Fighting,SAT,0.16
1994,Nintendo,Role-Playing,GEN,0.12
1994,Nintendo,Fighting,GEN,0.12
1994,Nintendo,Role-Playing,SNES,0.08
1994,Nintendo,Sports,SNES,0.07
1994,Nintendo,Action,GEN,0.07
1994,Nintendo,Misc,SNES,0.05
1994,Nintendo,Role-Playing,SNES,0.03
1994,Nintendo,Role-Playing,3DO,0.03
1994,Nintendo,Action,SNES,0.03
1994,Nintendo,Action,SAT,0.03
1994,Nintendo,Fighting,SNES,0.02
1994,Nintendo,Sports,PC,0.02
1995,3DO Company ,Adventure,SNES,0.06
1995,3DO Company ,Simulation,PC,0.02
1995,Nintendo,Platform,SNES,2.36
1995,Nintendo,Puzzle,PS,0.62
1995,Nintendo,Puzzle,PS,0.32
1995,Nintendo,Misc,SNES,0.3
1995,SNK,Fighting,SNES,0.2
1995,SNK,Fighting,PS,0.08
1995,SNK,Fighting,GB,0.03
1995,SNK,Sports,SNES,0.02
1995,PC,Strategy,SAT,4.21
1995,PC,Misc,PS,0.02
1995,Sony,Misc,PS,3.84
1995,Sony,Fighting,SNES,3.24
1995,Sony,Platform,PS,3.03
1995,Sony,Simulation,SAT,1.83
1995,Sony,Action,SNES,1.56
1995,Sony,Racing,PS,1.27
1995,Sony,Role-Playing,PS,1.11
1995,Sony,Racing,SNES,1.07
1995,Sony,Racing,PS,1
1995,Sony,Racing,PS,0.9
1995,Sony,Platform,SNES,0.87
1995,Sony,Sports,PS,0.85
1995,Sony,Fighting,PS,0.76
1995,Sony,Fighting,PS,0.71
1995,Sony,Role-Playing,SNES,0.6
1995,Sony,Simulation,PS,0.58
1995,Sony,Role-Playing,SAT,0.57
1995,Sony,Fighting,GB,0.55
1995,Sony,Sports,PS,0.5
1995,Sony,Action,SNES,0.47
1995,Sony,Simulation,PS,0.46
1995,Sony,Role-Playing,PS,0.45
1995,Sony,Action,PS,0.45
1995,Sony,Fighting,PS,0.36
1995,Sony,Fighting,SNES,0.33
1995,Sony,Misc,SNES,0.32
1995,Sony,Sports,PS,0.31
1995,Sony,Platform,SNES,0.3
1995,Sony,Sports,PS,0.28
1995,Sony,Shooter,SNES,0.27
1995,Sony,Sports,PS,0.25
1995,Sony,Strategy,PS,0.24
1995,Sony,Sports,SNES,0.24
1995,Sony,Sports,SAT,0.24
1995,Sony,Shooter,SAT,0.23
1995,Sony,Puzzle,SNES,0.2
1995,Sony,Sports,SAT,0.19
1995,Sony,Fighting,SNES,0.17
1995,Sony,Role-Playing,SNES,0.17
1995,Sony,Racing,SAT,0.17
1995,Sony,Role-Playing,SNES,0.16
1995,Sony,Sports,SAT,0.16
1995,Sony,Shooter,PS,0.16
1995,Sony,Role-Playing,SNES,0.15
1995,Sony,Shooter,SAT,0.14
1995,Sony,Simulation,SAT,0.14
1995,Sony,Action,PS,0.14
1995,Sony,Shooter,GB,0.14
1995,Sony,Strategy,PS,0.13
1995,Sony,Strategy,SAT,0.13
1995,Sony,Shooter,PS,0.13
1995,Sony,Sports,SNES,0.13
1995,Sony,Sports,SAT,0.13
1995,Sony,Strategy,GB,0.12
1995,Sony,Misc,PS,0.11
1995,Sony,Sports,SAT,0.11
1995,Sony,Strategy,SNES,0.11
1995,Sony,Shooter,SNES,0.11
1995,Sony,Adventure,SAT,0.11
1995,Sony,Shooter,SNES,0.1
1995,Sony,Fighting,SAT,0.1
1995,Sony,Action,SNES,0.1
1995,Sony,Strategy,PS,0.09
1995,Sony,Simulation,SNES,0.09
1995,Sony,Shooter,SNES,0.09
1995,Sony,Shooter,PS,0.09
1995,Sony,Action,SNES,0.09
1995,Sony,Fighting,PS,0.08
1995,Sony,Sports,PS,0.08
1995,Sony,Shooter,PS,0.08
1995,Sony,Simulation,PS,0.08
1995,Sony,Sports,SAT,0.08
1995,Sony,Simulation,PS,0.08
1995,Sony,Adventure,SAT,0.07
1995,Sony,Sports,SNES,0.07
1995,Sony,Shooter,SAT,0.07
1995,Sony,Shooter,NG,0.07
1995,Sony,Shooter,SNES,0.07
1995,Sony,Puzzle,PS,0.06
1995,Sony,Shooter,SAT,0.06
1995,Sony,Puzzle,PS,0.06
1995,Sony,Fighting,SAT,0.06
1995,Sony,Fighting,PS,0.06
1995,Sony,Racing,PS,0.05
1995,Sony,Shooter,PS,0.05
1995,Sony,Platform,SAT,0.05
1995,Sony,Puzzle,PS,0.05
1995,Sony,Shooter,SNES,0.05
1995,Sony,Simulation,PS,0.04
1995,Sony,Shooter,PS,0.04
1995,Sony,Simulation,SAT,0.04
1995,Sony,Misc,SNES,0.04
1995,Sony,Adventure,SAT,0.03
1995,Sony,Fighting,PS,0.03
1995,Sony,Sports,PS,0.03
1995,Sony,Platform,PS,0.03
1995,Sony,Adventure,TG16,0.03
1995,Sony,Adventure,PS,0.02
1995,Sony,Adventure,PS,0.01
1995,Sega,Fighting,SAT,1.93
1995,Sega,Racing,PS,1.16
1995,Sega,Shooter,PS,0.62
1995,Sega,Fighting,PS,0.42
1995,Sega,Action,PS,0.41
1995,Sega,Fighting,SNES,0.4
1995,Sega,Role-Playing,PS,0.38
1995,Sega,Shooter,SAT,0.37
1995,Sega,Shooter,SAT,0.34
1995,Sega,Fighting,SAT,0.34
1995,Sega,Fighting,PS,0.32
1995,Sega,Shooter,SAT,0.31
1995,Sega,Role-Playing,SAT,0.3
1995,Sega,Role-Playing,PS,0.29
1995,Sega,Fighting,PS,0.28
1995,Sega,Fighting,PS,0.23
1995,Sega,Sports,SAT,0.22
1995,Sega,Fighting,PS,0.21
1995,Sega,Simulation,SNES,0.19
1995,Sega,Misc,PS,0.19
1995,Sega,Shooter,SNES,0.17
1995,Sega,Sports,PS,0.15
1995,Sega,Fighting,PS,0.15
1995,Sega,Racing,PS,0.14
1995,Sega,Shooter,SAT,0.13
1995,Sega,Racing,SAT,0.12
1995,Sega,Misc,SNES,0.12
1995,Sega,Strategy,SNES,0.11
1995,Sega,Misc,SNES,0.11
1995,Sega,Role-Playing,PS,0.11
1995,Sega,Shooter,SAT,0.1
1995,Sega,Misc,PS,0.1
1995,Sega,Misc,PS,0.09
1995,Sega,Fighting,SNES,0.09
1995,Sega,Simulation,SAT,0.08
1995,Sega,Misc,PS,0.08
1995,Sega,Strategy,PS,0.08
1995,Sega,Strategy,SAT,0.08
1995,Sega,Racing,SAT,0.07
1995,Sega,Misc,PS,0.07
1995,Sega,Adventure,PS,0.06
1995,Sega,Adventure,NG,0.06
1995,Sega,Shooter,PS,0.06
1995,Sega,Misc,PS,0.05
1995,Sega,Puzzle,PS,0.05
1995,Sega,Adventure,SAT,0.05
1995,Sega,Misc,PS,0.04
1995,Sega,Misc,SAT,0.04
1995,Sega,Adventure,PS,0.03
1995,Sega,Fighting,PS,0.03
1995,Sega,Shooter,SAT,0.03
1995,Sega,Misc,PS,0.02
1995,Nintendo,Platform,PS,5.15
1995,Nintendo,Platform,SAT,4.12
1995,Nintendo,Fighting,PS,3.2
1995,Nintendo,Role-Playing,PS,3.19
1995,Nintendo,Role-Playing,PS,2.31
1995,Nintendo,Role-Playing,SNES,1.3
1995,Nintendo,Sports,SAT,1.15
1995,Nintendo,Sports,PS,1.01
1995,Nintendo,Role-Playing,SAT,0.89
1995,Nintendo,Role-Playing,3DO,0.71
1995,Nintendo,Strategy,PS,0.6
1995,Nintendo,Simulation,SNES,0.49
1995,Nintendo,Puzzle,SAT,0.47
1995,Nintendo,Misc,PS,0.47
1995,Nintendo,Sports,SNES,0.45
1995,Nintendo,Sports,PS,0.42
1995,Nintendo,Puzzle,PS,0.41
1995,Nintendo,Role-Playing,SAT,0.4
1995,Nintendo,Role-Playing,SNES,0.4
1995,Nintendo,Strategy,SAT,0.38
1995,Nintendo,Action,SNES,0.35
1995,Nintendo,Platform,SNES,0.31
1995,Nintendo,Sports,PS,0.3
1995,Nintendo,Role-Playing,SAT,0.3
1995,Nintendo,Fighting,SNES,0.28
1995,Nintendo,Platform,PS,0.28
1995,Nintendo,Misc,PS,0.28
1995,Nintendo,Sports,PS,0.27
1995,Nintendo,Puzzle,SAT,0.27
1995,Nintendo,Fighting,SNES,0.21
1995,Nintendo,Strategy,PS,0.2
1995,Nintendo,Sports,SNES,0.16
1995,Nintendo,Puzzle,SNES,0.15
1995,Nintendo,Role-Playing,PS,0.13
1995,Nintendo,Role-Playing,SAT,0.11
1995,Nintendo,Role-Playing,PS,0.1
1995,Nintendo,Racing,PS,0.1
1995,Nintendo,Sports,SAT,0.1
1995,Nintendo,Role-Playing,NG,0.09
1995,Nintendo,Platform,SNES,0.09
1995,Nintendo,Simulation,SNES,0.06
1995,Nintendo,Platform,PS,0.06
1995,Nintendo,Adventure,SNES,0.05
1995,Nintendo,Sports,SAT,0.05
1995,Nintendo,Shooter,SAT,0.05
1995,Nintendo,Misc,PS,0.05
1995,Nintendo,Puzzle,PS,0.05
1995,Nintendo,Platform,SNES,0.04
